plate,review_reason_code,customer_meaning,reviewer_comments,status
1DAWGS3,2.0,"#1 IS MY DAUGHTERS RIDING NUMBER, DESERT DAWGS IS OUR GROUP, AND I AM #3","13, GANG REFERENCE",N
122O7,6.0,12=L 20=T 7=G,12=L 20=T 7=G,Y
15O2,6.0,OB,OB,Y
2SSAVGE,2.0,WAY TO AWESOME,"SAVAGE, HOSTILE TERM",N
7RATEDR,1.0,"I DRIVE A 7TH GEN VW GOLF R, THE PLATE MEANS THAT MY VW GOLF IS ""RATED R""","I DRIVE A 7TH GEN VW GOLF R, THE PLATE MEANS THAT MY VW GOLF IS ""RATED R""",Y
8PIGS,5.0,FARMER,"PIG, POLICE REFERENCE",N
8SC3K13,2.0,A MIX OF MY INITIALS AND AN IMPORTANT DATE 3/13/08,"13, GANG REFERENCE",N
91OLBLU,2.0,RESTORING MY TRUCK AND I WOULD LIKE TO PERSONALIZE IT.,RESTORING MY TRUCK AND I WOULD LIKE TO PERSONALIZE IT.,Y
AWSUMGS,2.0,AWESOME GS (BMW MODEL),AWESOME GS (BMW MODEL),Y
CL45ACP,2.0,COCK AND LOCKED 45 AUTOMATIC COLT PISTOL,GUN REFERENCE,N
TAYSTYY,1.0,PRETTY,PRETTY,Y
GR8TM8,1.0,GREAT TEAMMATE,GREAT TEAMMATE,Y
HOTTCAT,1.0,GOOD LOOKING/ COOL CAR,GOOD LOOKING/ COOL CAR,Y
H8WINTR,2.0,I DISLIKE WINTER. THE CAR IS A CONVERTIBLE,"HATE, HOSTILE",N
LMFT559,2.0,LICENSED MARRIAGE AND FAMILY THERAPIST IN 559 AREA CODE,AREA CODE,N
BTY BLK,2.0,name of car,BETTY BLACK,N
CISSI 12,2.0,daughters name,SISSY A DEROGATORY TERM TOWARDS GAYS,N
DYLAN18,2.0,name and birthday,18 GANG REFERENCE,N
EL 8A,1.0,my last name,my last name,Y
G DIRTE5,2.0,g35 infinit model,G AS IN GANGSTER,N
LVE HYB,2.0,love for hyrbrid cars,LOVE HIT YOUR BITCH,N
M11I11M,6.0,first name and initials at both end and my numbers,first name and initials at both end and my numbers,Y
NGYN JT,2.0,nguyen johnny tiff,LAST NGUYEN LOOLS LIKE INGIN INDIAN SLANG,N
THINGE,1.0,volkswagon thing,THINGY TERM FOR PENIS,N
UF ENG,3.0,school,YOU F'ING,N
UPNDN 18,2.0,elevator man union #,18 GANG REFERENCE,N
V8 HUNTR,2.0,motorsize,HUNTER,N
YOU CME,1.0,you see me,YOU CUM,N
6SMG M3,2.0,lucky #,GUN,N
HOGTYDE,2.0,harley saying,HOG TIDE,N
GODOY 88,2.0,last name,88 HITLER REFERENCE,N
KAISE HO,1.0,how are you in Hindi,HO,N
PSST COM,2.0,ps strategic communication,PSST COME HERE looks like pissed,N
ALESS18,2.0,SON,18 HITLER REFERENCE,N
ATOMBEE,2.0,MY FIRST NAME AND LAST INITIAL,ATOM AS IN BOMB,N
BENG DI,1.0,DANCE,DANCE,Y
CAYM WNT,1.0,CAME AND WENT - THIS PLATE WILL BE USED ON A PORSCHE CAYMEN,CAME AND WENT - THIS PLATE WILL BE USED ON A PORSCHE CAYMEN,Y
CCKUMR1,1.0,BUSINESS COMPANY,CUMMER,N
COOL NGA,2.0,COOL NAME,COOL NIGGA,N
DUB13,2.0,THE NICKNAME I GOT IN THE NAVY AND HAS STUCK WITH ME IS DUB AND 13 IS MY FAVORITE NUMBER,13 GANG REFERENCE,N
EFG FAM,3.0,ELEANOR AND FRANK GONZALES FAMILY.,EFFING FAM,N
FIONA B,3.0,FIRST NAME LAST NAME INITIAL,BITCH,N
F VENGCO,3.0,MY FIRST NAME AND LAST NAME,FUCK VENGCO,N
GGGGGG,2.0,"THE PLATE I WOULD LIKE TO ORDER CONTAINS THE INITIALS OF ALL THE MEN IN MY FAMILY. MYSELF, MY FATHER AND MY GRANDFATHER WHO PASSED ON.","THE PLATE I WOULD LIKE TO ORDER CONTAINS THE INITIALS OF ALL THE MEN IN MY FAMILY. MYSELF, MY FATHER AND MY GRANDFATHER WHO PASSED ON.",Y
G8HUNTR,2.0,GREAT HUNTER,GATE HUNTR,N
HBCH T20,2.0,HUNTINGTON BEACH TOWER 20,BITCH CUSTOMER DOES NOT LIVE IN HUNTINGTON BEACH,N
HELL BAE,3.0,SHELBY + BABY = HELLBAE BEFORE ANYONE ELSE),HELL,N
H83PUTS,2.0,HATE THREE- PUTTS GOLF RELATED TERMS,HATE,N
INFO WRS,2.0,INFORMATION WORDS TECH TERM,WAR,N
IRAQI 93,2.0,ITS MY COUNTRY IRAQ AND 93 IS WHEN I WAS BORN,ITS MY COUNTRY IRAQ AND 93 IS WHEN I WAS BORN,Y
IS 16 MAG,2.0,INTIALS,MAG  AS INMAGAZIEN GUN,N
JST1BTE,2.0,JUST ONE BITE - EVIL QUEEN IN SNOW WHITE,JUST ONE BITE - EVIL QUEEN IN SNOW WHITE,Y
KLSTRLK,2.0,I'M UNBELIEVABLY LUCKY I'M A CLUSTER OF LUCK,KILLS,N
LOVE BJ,1.0,I LOVE BEIJING,BJ BLOW JOB,N
MCFLY14,2.0,CHILDHOOD MOVIE.,CHILDHOOD MOVIE.,Y
MF SQARE,3.0,MY NAME IS MICHELE FITZSIMONS. MY HUSBAND'S NAME IS MICHAEL FISHER. TOGETHER WE ARE MFSQURARED.,MOTHER FUCKING,N
MI BEA,3.0,MY BEAST,MY BITCH,N
M472100,6.0,LUCKY NUMBERS,LOOK  A LIKE,N
NUDS PLS,1.0,"NORTHWESTERN UNIVERSITY DENTAL SCHOOL ALUMNI, MY PRACTICE MENTORS AND HIRES RECENT GRADUATES.",NUDES PLEASE,N
OG CRUZ9,2.0,O GEOFFREY CRUZ 9,OG ORIGINAL GANGSTER,N
PEWPEWS,2.0,STARWARS STORMTROOPER THEMED TOYOTA RAV4 SUV. THE SOUND STORMTROOPERS MAKE.,PEW PEW GUN SOUND,N
PNK PNTR,1.0,PINK PANTHER,PINK PANTHER,Y
PSYCHPS,1.0,AM A PSYCHOLOGIST IN PALM SPRINGS,LOOS LIKE A SEXUAL REFERENCE OR PSYCH PS,N
RAW FIT,1.0,NAME OF A GYM,RAW FIT SEXUAL REFERENCE,N
SHAGN,1.0,THIS IS GOING ON A 1977 PINTO WAGON AND THEY WERE REFERRED TO AS SHAGGON WAGONS. THANKS,SHAGGIN,N
SHMUCLY,2.0,NICKNAME,NICKNAME,Y
TAHOE 13,2.0,YEAR I MOVED TO TAHOE,YEAR I MOVED TO TAHOE,Y
USDAPRM,1.0,USDA PRIME. IT'S A GRADE OF BEEF. I'M A CHEF AND COOK/BUTCHER MEAT FOR A LIVING,USDA PRIME. IT'S A GRADE OF BEEF. I'M A CHEF AND COOK/BUTCHER MEAT FOR A LIVING,Y
YPAPA D,2.0,WHY PAPA D,PAPA D,N
22A2A22,3.0,SPORTS NUMBER,LOOKS LIKE ASS BOTH WAYS,N
3LOH SA,3.0,MY WIFE'S GREAT GRANDMOTHERS INITIALS MINE AND WIFE FOLLOW,ASS HOLE BACKWARDS,N
313LION,2.0,DETROIT LIONS,DETROIT LIONS,Y
4DASOFF,2.0,FIREFIGHTERS SCHEDULE OF 4 DAYS OFF FOR EVERY 2 WORKED,FIREFIGHTERS SCHEDULE OF 4 DAYS OFF FOR EVERY 2 WORKED,Y
4DR HOAR,1.0,4 DOOR PICKUP,4 DOOR WHORE,N
842016R,6.0,CHERISHED FAMILY MEMORIES,LOOK  A LIKE,N
G $GMEN,2.0,"GO GMEN"" THIS IS IN SUPPORT OF THE SAN FRANCISCO GIANTS","GO GMEN"" THIS IS IN SUPPORT OF THE SAN FRANCISCO GIANTS",Y
1LSSGOD,2.0,1 LESS GOD,1 LESS GOD,N
CNR KILR,2.0,CANCER KILLER,KILLER,N
FU MIKE,3.0,KUNG FU MIKE,FUCK YOU MIKE,N
85BUD16,2.0,"MY SON'S YEAR OF BIRTH, NICKNAME AND YEAR OF DEATH",BUD AS IN MARIJUANA,N
BCH4YOU,2.0,I'M A REAL ESTATE AGENT WHO SELLS BEACH PROPERT,BEACH FOR YOU OR BITCH FOR YOU,N
CURSEU,2.0,"SNOOPY SAYS ""CURSE YOU RED BARON""",CURSE YOU,N
DOG PE,3.0,DOG (FOR SNOOPY) PE (I'M A PROF ENGINEER),DOG PEE,N
DUKEY,3.0,DOG NAME,DUKEY= SLANG FOR POOP BUT ALSO A NICKNAME FOR DUKE. THIS HAD A PREVIOUS RECORD WITH ANOTHER CUSTOMER. And it is a Snoopy plate.,N
KOOK2,2.0,HER NICKNAME IN CHINESE,HER NICKNAME IN CHINESE,Y
SMLYTT,1.0,SMILEY TIANTIAN,SMELLY TT… TT=PENIS IN TAGALOG. CUSTOMER FIRST NAME IS TIANTIAN,N
VHAPPY,1.0,VERY HAPPY,VERY HAPPY,Y
88AMVP,2.0,lucky ace most valuable person,"88=hate symbol, no 1988 car on ani",N
ALCIN 88,2.0,ABBREVIATED NAMES,"88=hate symbol, no 1988 car on ani (CUSTOMER IS ALVARO)",N
A5NDRVR,2.0,THESE NUMBERS AND LETTERS HOLD SPECIAL IMPORTANCE FOR MY WIFE AND,ASIAN DRIVER (UNACCEPTABLE WITH S),N
BETHE B,3.0,NO MEANING ON REG 17,BE THE BITCH,N
BIOASSY,1.0,BIO ASSAY: SCIENTIFIC METHOD TO CHECK FOR POTENCY BY EFFECT ON CELLS OR TISSUE.,THIS IS A WORD… BUT PULLED FOR ASS,N
BLDMNKY,2.0,BUILD MONKEY - HE IS A BUILDER,"BLOOD, GANG",N
BMW BISH,3.0,BMW BISHOP. SHORTENED BISHOP,BMW BITCH,N
COONAS5,2.0,I AM CAJUN IT'S MY HERITAGE,DICTIONARY.COM: COONASS: VULGAR SLANG: DISPARAGING AND OFFENSIVE. A CAJUN.,N
CRWD KLA,2.0,COMPANY INITIALS PLUS LOCATION OF COMPANY LOS ANGELES,CROWD KILLER,N
DAWUS,2.0,CHILD NICKNAME,"da wuss; slang=wimp, from pussy. Probably childs pronounciation of last name ""Davis""",N
DOMYNCE,1.0,FAMILY NICKNAME,"DOMINANCE, SEXUAL CONNOTATIONS",N
DTH TPR,2.0,STAR WARS - ROGUE ONE IMPERIAL ARMY CHARACTER,STAR WARS - ROGUE ONE IMPERIAL ARMY CHARACTER,Y
EJ 7O7,2.0,ENGINE CODE / AREA CODE,707 is customer's area code.. Doesn’t have a Dodge. Has a GMC truck…?,N
ELGRIFO,2.0,NICK NAME,GOOGLE TRANSLATE SAYS IT MEANS 'TAP' BUT URBAN DICTIONARY SAYS IT IS SLANG FOR FILTHY POTHEAD,N
FAT WUDY,1.0,FAT FENDER OLD CAR WOOD BODY (PARTIAL) MEMBER OF NAT. WOODIE CLUB,SEXUAL CONNOTATION BUT CUSTOMER DOES HAVE A 1965 OLDS AND 1948 BUICK AND 1954 VOLKS,N
FCCRUZ5,3.0,OUR NAME,OUR NAME,Y
FLEK IT,3.0,"THIS IS THE NAME OF OUR COMPANY, FLEK, INC AND OUR WEBSITE IS FLEKIT.COM. WE MANUFACTURE AND SELL PHONE CASES FOR IPHONES.",SOUNDS SIMILAR TO FUCK IT,N
FML1993,3.0,THE BIRTH YEAR,"FML=FUCK MY LIFE, NOT CUSTOMER INITIALS",N
FTN PENZ,3.0,NOT ON QUICKWEB YET,NOT ON QUICKWEB YET,Y
F 213,2.0,FIRST INITIAL AND BIRTHDATE,"213=LA AREA CODE, HIS BDAY IS 2/13/87 AND FIRST NAME IS FARIS",N
G BEEST,2.0,GONZALEZ BEAST,G=GANGSTER,N
GERGS 5O,5.0,GEORGE'S 5.0,"50=POLICE, NO FORD ON ANI",N
GFY1993,3.0,BIRTH YEAR,"GFY=GO FUCK YOURSELF. SAME CUSTOMER THAT ORDERED ""FML1993""",N
GRG MHELL,3.0,GARAGE MA HALL,GARAGE MA HALL,Y
GUNBNNY,2.0,"HOBBY, GAMING",GUN,N
G WULF,2.0,"IT MEANS ""GRAY WULF"" NATIVE AMERCAN NAME.",G=GANGSTER,N
HARCUMS,1.0,MY HUSBANDS LAST NAME,"NOT CUSTOMER LAST NAME, PULLED BECAUSE OF CUM",N
HELLS1,3.0,GRANDMOTHERS NAME AND ENGINE CODE FOR THE VEHICLE,GRANDMOTHERS NAME AND ENGINE CODE FOR THE VEHICLE,Y
HKDFLBB,3.0,ME AND MY BOY FRIEND'S NAME INITIAL.,HK=HELLO KITTY OR HONG KONG? DFL=DEAD FUCKING LAST BB=BABY. NOT CUSTOMER'S INITIALS,N
JAY BONE,1.0,MY NICK NAME.,bone can have sexual connotations,N
J4MFZ,3.0,JUST FOR MY FRIEND ZACH,J4 MOTHERFUCKERS… CUSTOMER IS ZACHARY AND WAS PURCHASED BY SOMEONE ELSE,N
KAT4MNA,1.0,MY INITIALS (KAT) 4 MY DAUGHTERS MADISON AND AVA,MY INITIALS (KAT) 4 MY DAUGHTERS MADISON AND AVA,Y
KK YANG,1.0,THIS IS MY NAME.I THINK IS A GOOD IDEA.,"DICTIONARY.COM, YANG=SLANG FOR PENIS. BUT IS IS CUSTOMER LAST NAME. JUST CHECKED AND ""YANG"" IS UNACCEPTABLE",N
KOSPONY,1.0,NOT ON QUICKWEB YET,KOS=CUNT/PUSSY IN PERSIAN/FARSI LANGUAGE,N
KRWDKLR,2.0,"CROWD KILLER ITS A TREND THATS GOING ON WITH MUSTANGS, MY CAR IS A SHOW CAR SO IT WOULD BE COOL TO HAVE IT ON.",CROWD KILLER,N
KYZAKSS,3.0,LIGHTNING BOLTS IN ARMENIAN,kaytsak IS LIGHTNING BOLT IN ARMENIAN ACCORDING TO GOOGLE TRANSLATE… THIS KIND OF SOUNDS LIKE KICK ASS (KIZ AXE),N
L A BUMZ,2.0,LOS ANGELES DODGERS ARE BUMS. GO GIANTS!,an insult… but has been out spelled with an 's' since 1984,N
MTDGAF,3.0,MY INITIALS AND MY TWO FRIENDS' INITIALS,mercedes taylor don’t give a fuck,N
NEKAPLZ,2.0,NICOLE PLEASE,N WORD,N
PSYCLWN,2.0,"MY CAR IS A 1964 MERCURY CYCLONE, AND THIS IS THE CLOSEST I COULD GET TO CYCLONE","MY CAR IS A 1964 MERCURY CYCLONE, AND THIS IS THE CLOSEST I COULD GET TO CYCLONE",Y
RADRSOG,2.0,no meaning written in on Reg 17,og=original gangster,N
RAYCAT,1.0,no meaning written in on Reg 17,no meaning written in on Reg 17,Y
RIDN417,2.0,DRIVING SAFELY,CA PENAL CODE FOR DRAWING A FIREARM OR OTHER DEADLY WEAPON IN A THREATENING MANNER,N
SLAYCAM,2.0,SLAY IS SLANG TO SUCCEED IN SOMETHING. cam is short for camera. Slaycam is a joke amongst friends to want to record or take pictures.,slay=kill,N
TATA 61,1.0,grandfather/year model,tata can also mean breast,N
URBAN88,2.0,they put their credit card number for their meaning!,"88=hate symbol, customer ordered a few different number combinations and 82-88. No 88 car on ani",N
VACA777,3.0,LAST NAME AND NUMBERS,LAST NAME AND NUMBERS,Y
ZOEEE 13,2.0,ZOE WAS MY FAVORITE AUNTS NAME,ZOE WAS MY FAVORITE AUNTS NAME,Y
14 CUBS,2.0,CAYABYAB 14,"14=hate symbol, no 2014 car on ani",N
179LV14,2.0,BIRTHDAYS/LOVE,"14=hate symbol, no 2014 car on ani",N
1966 FMC,3.0,"1966, F FOR FORD, M FOR MUSTANG","1966, F FOR FORD, M FOR MUSTANG",Y
33TJGAU,1.0,3 OF MY DIFFERENT NAMES,3 OF MY DIFFERENT NAMES,Y
4PUDDIN,1.0,TV CHARACTER,TV CHARACTER,Y
6ONE9SD,2.0,SAN DIEGO' S AREA CODE AND CITY WHERE I WAS BORNED AND RAISED,SAN DIEGO AREA CODE 619,N
831LIFE,2.0,LIVING LIFE IN SALINAS AREA CODE,831=SALINAS AREA CODE,N
OV THUG,2.0,FOOTBALL CALL H.S.,THUG,N
CATNI,1.0,MY WIFE AND I,MY WIFE AND I,Y
DOMN8RS,1.0,NOT ON QUICKWEB YET,NOT ON QUICKWEB YET,Y
EREL21F,5.0,FITNESS CENTURY 21 LAW ENFORCMENT REAL ESTATE,FITNESS CENTURY 21 LAW ENFORCMENT REAL ESTATE,Y
FUKN HEY,3.0,"FUKIEN HEY, JAPANESE CHEMIST. IVE ALREADY SEEN FUKYEAH AND FKN FST PLATES ON CARS. WHY DOES MY ORDER DECLINE",FUCKING HEY,N
IRISH B,3.0,IRISH BAKER,B=BITCH (HIS LAST NAME IS BAKER),N
NIJA NAT,2.0,"NINJA NATALIE, RELEVANT TO MY PROFESSION AND MY NAME ABBREVIATED","NINJA NATALIE, RELEVANT TO MY PROFESSION AND MY NAME ABBREVIATED",Y
O FUX,3.0,"ORANGE FOX, ORANGE JAGUAR","ZERO FUCKS, SAME CUSTOMER THAT ORDERED 'FUKN HEY"" ABOVE…",N
REDDRNR,2.0,IM A REDHEAD AND A RUNNER,IM A REDHEAD AND A RUNNER,Y
REDRUNZ,2.0,IM A REDHEADED RUNNER,IM A REDHEADED RUNNER,Y
SLA HER,2.0,I AM A FAN OF SLAYER. SO I WANT IT TO BE SLAY HER. BECAUSE I AM A FEMALE,SLAY=KILL,N
SZ M8RS,1.0,SUZE (NICKNAME FOR SUSAN) MATTERS,"SIZE MATTERS, can have sexual connotations. CUSTOMER NAME IS SUSAN THOUGH. A COUPLE SIMILAR CONFIGURATIONS are UNACCEPTABLE",N
1QWKKAT,1.0,"ONE QUICK KAT (MY NAME IS KATHLEEN, BUT I GO BY KAT, KATKATHEY, KATHEY","ONE QUICK KAT (MY NAME IS KATHLEEN, BUT I GO BY KAT, KATKATHEY, KATHEY",Y
KATS13,2.0,nickname bday,GANG NO 2013 CAR ON ANI,N
14SNPY,2.0,ONE FOR SNOOPY,GANG NO 2014 CAR ON ANI,N
BA DRT13,2.0,BAD RT 2013,GANG HAS A 2013 DODGE,N
BDASGRM,3.0,CELEBRATING OUR GRANDMA,BAD ASS GRANDMA,N
D MNY,1.0,MY NICKNAME....D MONEY,"STAND ALONE ""D""",N
DMN8,1.0,DOMINATE,DOMINATE CAN HAVE SEXUAL CONNOTATIONS,N
DN7HA7E,2.0,MY KIDS INITIALS AND MY FAVORITE NUMBER,HATE,N
HNC 72,2.0,NO MEANING WRITTEN ON REG 17,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",N
D SHOEN,1.0,NAME,"STAND ALONE ""D"" (HIS NAME IS DENNIS BUT NOT SHOEN)",N
GLDNBTY,1.0,"VEHICLE (85 PORSCHE) NAME IS: BETTY AND WE'VE RETURNED TO CA SO WE ARE GOLDEN, ""GLDNBTY""",GOLDEN BOOTY,N
H BULLYS,2.0,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",BULLYING,N
IMA247G,2.0,COMPULSIVE GAMBLER,IM A 24/7 GANGSTER,N
KREMA 88,2.0,STORE NAME AND GOOD LUCK NUMBERS,"88=hate symbol, no 88 car on ani",N
MEVAALE,3.0,I DON'T CARE,SPANISH 'ME VALE' MEANS 'I DON’T GIVE A DAMN',N
MAFIOZ,2.0,CUSTOM PLATE FOR SHOW CAR,GANGSTER/MOB,N
MINTY 13,2.0,CAR COLOR IS MINT,"13=GANG, NO 2013 ON ANI",N
MST DO88,2.0,MUST DO 88. IN REFERENCE TO GOING 88MPH IN THE MOVIE BACK TO THE FUTURE,"88=hate symbol, no 88 car on ani",N
MYSTIKK,1.0,MYSTIC,STICK,N
NA7O7PA,2.0,NAPA 707 AREA CODE,AREA CODE,N
NNASSUV,1.0,NANA'S SUV,ASS,N
OG KALI,2.0,THIS IS MY DOGS NAME,OG=ORIGINAL GANGSTER,N
PUCKMME,3.0,"HOCKEY GOALIE, SPORTS FAN",SIMILAR TO FUCK ME,N
RARHUMR,1.0,THE TRUCK IS AN H3T HUMMER WHICH ARE RARE VEHICLES,"HUMMER CAN HAVE SEXUAL CONNOTATIONS, NO HUMMER ON ANI",N
RUCUMN2,1.0,ARE YOU COMING WITH US? THE PICK UP IS USED FOR TOWING A CAMP TRAILER MAINLY,"ARE YOU CUMMING TOO, SEXUAL",N
SANKYUU,2.0,THIS IS JUST AN INSIDE JOKE BETWEEN FRIENDS AND I.,SANK YOU?,N
SIGP22O,2.0,S=SECURE I=INTERNET G-GATEWAY P=PRODUCT 220=MODEL NUMBER. I'M A SUPPORT MANAGER AT JUNIPER NETWORKS HTTP://WWW.JUNIPER.NET/US/EN/PRODUCTS-SERVICES/SECURITY/SRX-SERIES/SR,PISTOL SIG SAUER P220,N
SIG X,2.0,SIGMA CHI,SIG SAUER X-SERIES,N
SITH559,2.0,SITH LORD FROM STAR WARS,AREA CODE FOR VISALIA,N
SIX GUN,2.0,MOVIE TITLE,GUN,N
SQURL 13,2.0,SQUIRREL 13,"13=GANG, NO 2013 ON ANI",N
TNTMECH,2.0,T AND T MECHANICAL,TNT,N
TNT1111,2.0,INITIALS AND LUCKY NUMBER,TNT,N
TPLEZ 69,1.0,1969 BUICK CONVERTIBLE,NO 69 ON ANI,N
TRE CE B,2.0,MOTOR TYPE,"TRE CE=TRECE, 13 IN SPANISH. NO 2013 ON ANI",N
WAGOO18,2.0,NICKNAME AND FAVORITE NUMBER,GANG,N
213HIKE,2.0,213 HIKING GROUP,AREA CODE LOS ANGELES,N
85 BLOWN,1.0,85 MUSTANG COUPE,"SEX, HAS 73 DATSON",N
88 MYLES,2.0,movie quote,88 HATE SYMBOL,N
Z$SHOOT,2.0,"MY NAME IS JEN Z, AND I AM A PROFESSIONAL PHOTOGRAPHER. WWW.JENZPHOTO.COM",shoot,N
AZIZ K,2.0,"MY NAME AND FIRST MIDDLE NAME , AND THERE IS A SPACE BETWEEN THEM.","MY NAME AND FIRST MIDDLE NAME , AND THERE IS A SPACE BETWEEN THEM.",Y
KITTYDD,1.0,"MY KITTY'S NAME IS, KITTY DEE DEE .","KITTY, NO CAT CAR ON ANI",N
URALIAR,2.0,GRANDSON'S FAVORITE SAYING.,YOU ARE A LIAR,N
X1NG8NA,3.0,"CHINGONA, OR EXTRAORDINARY WOMAN",CHINGONA=BITCH,N
3SIXNIN,2.0,GOOD ENERGY TESLA QUOTE,"FUTURE AREA CODE (CUSTOMER MEANING IS TRUE, ITS PART OF A NIKOLA TESLA QUOTE)",N
STUNGUN,2.0,SHOCKER,GUN,N
KEYBNGR,1.0,PIANO KEYS,SEX,N
BADASMM,3.0,BAD ASS MOM,BAD ASS,N
BLKKUTI,1.0,BLACK CAMARO,"CUTTY IS ANOTHER WORD FOR VAGINA, SEXUAL REFERENCE",N
CAPPNIT,2.0,MY LAST NAME IS CAPALBO AND MY NICK NAME IS CAP SO IT MEANS I AM JUST  BEING ME.,COULD BE A REFERENCE TO SHOOTING SOMEONE,N
CXS13,2.0,MY INITIALS AND FAVORITE NUMBER,"13, GANG REFERENCE",N
DIKSDRM,1.0,DICKS DREAM,"DICKS, SEXUAL REFERENCE",N
FN91SUX,3.0,91 FREEWAY SUCKS,FN CAN STAND FOR FUCKING AND SUCKS CAN BE OFFENSIVE TO SOME,N
FUNDU,2.0,"I'M A LOAN OFFICER AND FUND LOANS;  ""FUND U"" MEANING, I WILL FUND YOUR LOAN.","YOU, HOSTILE",N
GOTAB18,2.0,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA,"18, GANG REFERENCE",N
HILBLLE,4.0,HILLBILLY,DEROGATORY WORD FOR SOMEONE WHO LIVES IN THE MOUNTAINS,N
ICEKILR,2.0,ICE IS INTERNAL COMBUSTION ENGINE. KILR IS KILLER.  PLATE WILL BE ON AN  ELECTRIC CAR.,"KILLER, HOSTILE",N
IM5O,5.0,I TURNED 50 AND I'M LOVING IT,"5O, POLICE REFERENCE",N
L8RBZS,3.0,LATER IM BUSY,BZ STANDS FOR BITCHES,N
MAGNUM4,1.0,MAGNUM TOURS VEHICLE NUMBER 4,COOULD BE TAKEN AS SEXUAL,N
NAP554B,3.0,"NAPOLEON, 5 STRATEGIC RATING, 5 TACTICAL, 4 TACTICAL MAX, B LEADER EMPIRES IN ARMS GAME","NAPOLEON, 5 STRATEGIC RATING, 5 TACTICAL, 4 TACTICAL MAX, B LEADER EMPIRES IN ARMS GAME",Y
RTSMOKU,2.0,THE CAR IS AN RT CHALLENGER AND ITS SMOAK  GREY,"YOU, HOSTILE",N
SIMAMES,3.0,YES MOM,"CLOSE TO NO MAMES WHICH IS A VULGAR WAY OF SAYING ""YOU'RE KIDDING"" OR IN OTHER TERMS ""DON’T FUCK WITH ME""",N
SMOKDYU,2.0,FAST CAR,"YOU, HOSTILE",N
THOTLVR,3.0,GETTING A DEGREE IN PSYCHOLOGY. I LOVE TO  HEAR PEOPLES THOUGHTS AND WHAT GOES ON  IN THEIR MIND,"THOT STANDS FOR THAT HOE OVER THERE, OFFENSIVE",N
TWATSON,1.0,TROY WATSON  HUSBAND NAME,A TWAT IS ANOTHER WORD FOR VAGINA,N
TZNSGRL,1.0,TARZAN'S GIRL. BECAUSE MY GIRLFRIENDS  NAME IS JANE.,"SIMILAR TO TEASING GIRL, COULD BE TAKEN AS SEXAUL",N
UIOWA88,2.0,COLLEGE ATTENDED,"88, GANG REFERENCE",N
URBBDDY,2.0,"YOUR ""B"" BUDDY","YOU, HOSTILE",N
X2VIRGN,1.0,I LEFT SPACEX TO WORK FOR VIRGIN GALACTIC,"VIRGIN, SEXUAL REFERENCE",N
YOOLOSE,2.0,YOU LOSE,"YOU, HOSTILE",N
ZADDYAF,3.0,INSIDE JOKE,AF STANDS FOR AS FUCK,N
ZULUFKS,3.0,MILITARY TIME CODE -ZERO  MILITARY ODER - FRANKS,FKS CAN STAND FOR FUCKS,N
1SLAVEI,2.0,THE SHIP FLOWN BY BOBA FETT IN THE STAR  WARS MOVIES.,"SLAVE, HOSTILE AND OFFENSIVE",N
69LUIE,1.0,"ITS THE YEAR OF MY VEHICLE , AND THE NICK  NAME OF MY CAR","69, SEXUAL REFERENCE",N
698,1.0,JUNE 1998,"69, SEXUAL REFERENCE",N
8HRGOOD,1.0,I LIVE A POSITIVE LIFESTYLE AND I ALWAYS WANT TO REMEMBER MY MANTRA OF ALL I NEED IS 8 HOURS OF GOOD POSITIVE ENERGY AND THE REST OF THE DAY WILL MANIFEST HAPPINESS.,"ARE HER GOOD, SEXUAL REFERECNE",N
88M5,2.0,1988 BMW M5,"88, GANG REFERENCE",N
HBCH,3.0,HUNTINGTON BEACH TOWER 20,HEAD BITCH,N
BBRELAX,1.0,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED,"BB COULD STAND FOR BAREBACK, SEXUAL REFERENCE",N
DJIBUTI,1.0,THE COUNTRY OF DJIBOUTI,"BOOTY, SEXUAL REFERENCE",N
FSHNADK,1.0,FISHING ADDICT,"SIMILAR TO FISHING A DICK, SEXUAL REFERENCE",N
RNMF1,3.0,RAY NEFF METAL FAB 1,MF COULD STAND FOR MOTHER FUCKER,N
RNMF2,3.0,RAY NEFF METAL FAB 2,MF COULD STAND FOR MOTHER FUCKER,N
SLUGPUG,2.0,MY DOG,MY DOG,Y
ISQUIRT,1.0,ITS MY NICKNAME,SEXUAL REFERENCE,N
BUMB13 B,2.0,REFERENCE TO TRANSFORMER BUMBLEBEE,13 = GANG NUMBER,N
B 2SWEET,3.0,BILLIE 2 SWEET,STAND ALONE B,N
CHVY 562,2.0,CHEVY 562 AREA CODE,562 = AREA CODE,N
D SHOT,1.0,NICKNAME,COULD HAVE SEXUAL CONNOTATION,N
ERIC 949,2.0,MY FIRST NAME AND MY AREA CODE,949 = AREA CODE,N
