plate,reviewer_comments
iwaly,i will always love you
iwbb,i will be back
iwc,internet wrestling community
iwhi,i would hit it
iwid,it is what i do
iwik,i wish i knew
iwiwt,i wish i were there
iwm,it was not me
iwoot,i want one of those
iwtd,i want to die
iwy,i want you
iyam,if you ask me
iybtyba,if you believe that you will believe anything
iyd,in your dreams
iydk,if you did not know
iydm,if you do not mind
iyf,in your face
iygm,if you get me
iyh,in your head
iykwim,if you know what i mean
iyl,if you are lucky it is your life
iyo,in your opinion
iyss,if you say so
iyswim,if you see what i mean
iytt,if you think that
iyw,if you want or will
iyww,if you were wondering
j,joking
jaf,just a friend
jafa,just another fucking aucklander
japan,just always pray at night
jas,just a second
jat,just a thought
jatq,just answer the question
jb,jail bait jonas brothers
jbh,just being honest
jbt,jack booted thug
jbu,just between us
jby,just be yourself
jc,jesus christ just curious just chilling
jcb,j c bamford 
jd,jack daniels
jdi,just do it
jdlr,just does not look right
jdm,japanese domestic market
jff,just for fun
jfk,john fitzgerald kennedy new york airport just for kicks
jfn,just for now
jft,just for today
jftr,just for the record
jfy,just for you
jfyi,just for your information
jg,juicy gossip
jgb,just got back
jgh,just got home
jgi,just google it
jgl,just get lost
jhc,jesus h christ
jhp,jacketed hollow point 
jic,just in case
jicydk,just in case you did not know
jj,just joking
jk,just kidding
jkd,jeet kune do 
jlmk,just let me know
jls,jack the lad swing 
jlt,just like that
jluk,just letting you know
jly,jesus loves you
jlyk,just letting you know
jm,just messing
jma,just messing around
jmho,just my humble opinion
jml,just my luck
jmo,just my opinion
jms,just making sure
jmt,just my thoughts
jn,just now
jooc,just out of curiosity
jp,just playin
jpa,just playing around
jpeg,joint photographic experts group image file format
jrotc,junior reserve officer training corps
jrpg,japanese role playing game
js,just saying
jsmn,just shoot me now
jsp,java server pages
jsu,just shut up
jsyk,just so you know
jtb,just too bad
jtc,join the club
jtlyk,just to let you know
jtol,just thinking out loud
jtoy,just thinking of you
jtty,just to tell you
jtusk,just thought you should know
juad,jumping up and down
jv,junior varsity amateur
jw,just wondering
jwas,just wait and see
jwd,job well done
jwg,just a wild guess
jwtk,just wanted to know
jwtlyk,just wanted to let you know
jwu,just woke up
jww,just was wondering
kafm,keep away from me
kcaco,keep calm and carry on
kcco,keep calm and chive on
kd,kraft dinner
kdr,kill or death ratio
kf,kind of funny
kfc,kentucky fried chicken
kgb,russian secret police
kh,kingdom hearts 
khyf,know how you feel
kia,killed in action know it all
kicks,shoes thrills
kig,keep it gangsta
kim,keep it moving
kio,knock it off
kip,sleep bed
kir,keepin it real
kirf,keeping it real fake
kis,keep it simple
kisa,knight in shining armour
kiss,keep it simple stupid
kit,keep in touch
kiu,keep it up
kiv,keep in view
kkk,ku klux klan
kkkk,korean lol
km,keep mum
kmfc,keeping my fingers crossed
kml,killing myself laughing
kmn,kill me now
kmp,keep me posted
kmt,kiss my teeth
kmu,keep me updated
kod,kiss of death
kos,kill on sight
kotc,kiss on the cheek
koth,king of the hill 
kotl,kiss on the lips
kotor,knights of the old republic 
kp,korean pride
kpc,keep parents clueless
kpg,keep the party going
kpi,key performance indicator
kr,kind regards
kro,keep right on
ks,kill steal
ktbffh,keep the blue flag flying high 
ktbspa,keep the backstreet pride alive
ktf,keep the faith
kwim,know what i mean
kwis,know what i am saying
kyfc,keep your fingers crossed
kyo,knock yourself out
kyp,keep you posted
lafs,love at first sight
lak,love and kisses
lal,laughing a lot or little
lalb,laughing a little bit
lam,leave a message run
lamn,look at me now
lan,local area network
lapd,los angeles police department
larp,live action role play
lart,luser attitude readjustment tool
laser,light amplification by stimulated emission of radiation
lat,living apart together
latm,laughing at the moment
lbc,long beach california
lbd,little black dress
lbdn,look busy doing nothing
lbh,let us be honest loser back home
lbm,little big man
lbnl,last but not least
lbr,loser beyond repair
lbrs,lower blackrock spire 
lbvs,laughing but very serious
lbw,leg before wicket 
lc,lower case
lcd,liquid crystal display
lcts,let us change the subject
ld,link dead 
lda,long distance affair
ldh,long distance hug
ldi,let us do it
ldl,long distance lover
ldo,like duh obviously
ldr,long distance relationship
lds,latter day saint
le,limited edition law enforcement
lec,local exchange carrier
led,light emiting diode
leo,law enforcement officer
lev,low emission vehicle
lf,looking for
lf1m,looking for one more
lfdy,live fast die young
lfg,looking for group
lfm,looking for more
lfmf,learn from my fail
lfp,looking for party 
lfti,looking forward to it
lftsu,look forward to seeing you
lfw,looking for work
lg,little girl
lgbtq,lesbian gay bisexual trans questioning
lgd,let us get drunk
lgfb,looks good from behind
lgmh,love gives me hope
lgo,life goes on
lgt,link goes to 
lgtm,looks good to me
lh,living hell
lhh,laughing hella hard
lhk,love hugs and kisses
lhm,lord have mercy lord help me
lhyw,like hell you will
li,laughing inside
lifo,last in first out
lig,let it go
lih,laugh in head
lihop,let it happen on purpose
liita,love is in the air
lilaboc,life is like a box of chocolates
limb,laughing in my brain
limh,laughing in my head
limm,laughing in my mind
lirl,laughing in real life
lis,laughing in silence
lits,life is too short
liu,look it up
ljbf,let us just be friends
ll,laugh loudly lol
llap,live long and prosper
llc,limited liability company laughing like crazy
llh,laughing like hell
lll,loony liberal left
llttf,living life to the fullest
lm,loud mouth
lma,leave me alone
lmad,let us make a deal
lmam,leave me a message
lmap,leave me alone please
lmc,let me check
lmco,laughing my cats off
lmg,light machine gun
lmgtfy,let me google that for you
lmho,laughing my head off
lmirl,let us meet in real life
lmk,let me know
lml,love my life
lmpo,laughing my pants off
lmr,last minute resistance
lms,like my status last man standing
lmso,laughing my socks off
lmt,let me think
lmtal,let me take a look
lnf,lifes not fair
lnib,like new in box
lnt,leave no trace
loa,leave of absence
lol,laughing out loud
lolak,lots of love and kisses
loll,laugh out loud literally
lolol,lots of laughing out loud
lolv,lots of love
lomb,lying on my bed
loml,love of my life
lomo,lights out missionary only
lool,laughing outlandishly out loud
loq,laugh out quietly
lorl,laugh out really loud
los,line of site
lotd,link of the day
loti,laughing on the inside
lotr,lord of the rings
lotro,lord of the rings online 
lovl,laughing out very loud
loyol,live out your own life
loz,legend of zelda
lp,long play 
lpg,liquefied petroleum gas
lpt,life pro tip
lqi,laughing quietly inside
lql,laughing quite loudly
lqtm,laughing quietly to myself
lqtms,laughing quietly to myself
lqty,laughing quietly to yourself
lrf,low resolution fox
lrg,lifted research group 
lrl,laughing really loud
lsat,law school admission test
lse,london school of economics low self esteem
lsh,laughing so hard
lshic,laughing so hard i am crying
lshidmt,laughing so hard i drop my taco
lshmbh,laughing so hard my belly hurts
lsi,limited social interaction
lsmft,lucky strike means fine tobacco
lsmih,laughing so much it hurts
lsp,love sick puppy
lss,last song syndrome
lstm,laughing silently to myself
lta,love to all
ltb,looking to buy
ltd,live or living the dream
ltg,learn to google
lth,love truth honor
ltic,laugh til i cry
ltl,living the life
ltm,laughing to myself
ltma,less talk more action
ltmq,laughing to myself quietly
ltms,laughing to myself
ltnc,long time no chat
ltns,long time no see
ltnt,long time no talk
ltp,lost the plot
ltr,long term relationship
lts,laugh to self
lty,laugh to yourself
lui,living under the infuence
lul,lame uncomfortable laugh
lulab,love you like a brother
lulas,love you like a sister
lv,louis vuitton las vegas level
lw,lucky win
lwicd,look what i can do
lwkm,laugh wan kill me 
lwkmd,laugh wan kill me die
lwm,laugh with me
lwp,laughing with passion
lwt,look who is talking
lwwy,live while we are young
ly,love you
lya,love you always
lyaaf,love you as a friend love you always and forever
lyb,love you bye
lyf,love you forever
lyk,let you know
lyl,love you lots
lylab,love you like a brother
lylaf,love you like a friend
lylas,love you like a sister
lylc,love you like crazy
lylmb,love you like my brother
lylt,love you long time
lym,love you more
lymi,love you mean it
lymy,love you miss you
lymywy,love you miss you want you
lyr,love you really
lysm,love you so much
lyt,love you too
lytd,love you to death
lz,landing zone
ma,mom alert master of arts
maab,male assigned at birth
mac,media access control macintosh
madd,mothers against drunk driving
mapoti,most annoying people on the internet
mas,mildly amused smirk
maw,might as well
mawoy,may angels watch over you
mba,masters of business association married but available
mbd,my bad dudes
mbf,my best friend
mbfam,my brother from another mother
mbm,married black male
mbn,must be nice
mbo,must be off management buy out
mbps,megabits or bytes per second
mbr,master boot record
mbt,masai barefoot technology 
mbw,married black woman
mc,master of ceremonies
mcl,much clown love
mcm,man crush monday
mcp,male chauvanist pig
mcr,my chemical romance 
mcw,man crush wednesday
mdf,medium density fiberboard
mdk,murder death kill
mdr,mort de rire 
mdw,memorial day weekend
mego,my eyes glazed over
mfc,mildly fat chick microsoft foundation classes
mfeo,made for each other
mfg,mit freundlichen gruessen 
mfl,marked for later
mfw,my face when 
mgby,may god bless you
mgd,miller genuine draft
mgk,machine gun kelly
mgm,male genital mutilation
mgmt,the management 
mgo,metal gear online 
mgs,metal gear solid 
mh,map hack
mhbfy,my heart bleeds for you
mho,my honest opinion
mhoty,my hats off to you
mhr,many happy returns
mi6,military intelligence service 6
mia,missing in action
mib,men in black mint in box
midi,musical instrument digital interface
miga,make it go away
mih,make it happen
mihop,made it happen on purpose
mil,mother in law
mimo,multiple input multiple output
mip,minor in possession
mips,million instructions per second
mirl,meet in real life
misb,mint  in sealed box
miso,my internet shut off
mj,michael jackson michael jordan marijuana
mlas,my lips are sealed
mlb,major league baseball
mlg,major league gaming
mlia,my life is average
mlib,my life is bro
mlig,my life is great or good
mlim,my life is magic
mlm,multi level marketing middle finger 
mlp,my little pony
mls,my life sucks
mltr,multiple long term relationships
mlyp,much like your post
mm,married man
mm2,message mode 2 
mma,meet me at
mmamp,meet me at my place
mmao,make me an offer
mmc,multimedia card
mmd,make my day
mmh,meet me halfway
mmi,me myself and i
mml,made me laugh
mmofps,massively multiplayer online first person shooter
mmorpg,massively multiplayer online role playing game
mms,multimedia messaging service
mmt,makes me think
mmv,mileage may vary
mnc,mobile network code
mnf,monday night football
mnt,maybe next time
mo,modus operandi 
moab,mother of all bombs massive ordnance air blast
moam,man on a mission
moas,mother of all secrets
moba,multiplayer online battle arena
moc,marriage of convenience my own creation
moh,my other half
mol,more or less
moo,matter of opinion my own opinion
mopo,master of the painfully obvious
moq,minimum order quantity
mos,mom over shoulder
mot,ministry of transport test for car safety
motb,mother of the bride
motd,message of the day match of the day
motku,master of the known universe
moto,master of the obvious
motwyw,make of that what you will
mou,memorandum of understanding
mp,military police member of parliament
mpa,music publishers association
mpaa,motion picture assosciation of america
mpe,my point exactly
mpeg,moving picture experts group audio or visual file format
mpg,miles per gallon
mph,miles per hour
mpo,my personal opinion
mpog,multiplayer online game
mpua,master pick up artist
mpv,multi purpose vehicle
mr,mentally retarded
mre,meal ready to eat
mri,magnetic resonance imaging
mrp,manufacturers recommended price
